company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1525 江申,2022/06,0.1085146904478278,0.5478493153669418,0.00995562427310682,0.1778086031077311,1.06044192745949,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2018/12,0.02989301821225068,0.5483115937128744,-0.06005580088544983,0.1601369596638678,0.7976023388165518,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2019/12,0.08536903112076755,0.5609511336150518,-0.08062232658250015,0.1696041493622402,1.01460037310524,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2015/06,0.04183888970202101,0.460427241944139,0.03033184710268119,0.2009800603013014,0.8180045134709607,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2022/12,0.2261492413570734,0.561453189069767,-0.07032752081655615,0.1624693237929215,1.417003597051721,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2020/06,0.06054287950784858,0.56342851786527,-0.1300835576299481,0.1828033815279405,0.9139914499180578,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2014/06,0.1248011551940932,0.4596482170592419,0.02832052506258135,0.2005981004711356,1.065154765352119,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2021/12,0.1428895094193254,0.5711158296221645,-0.001165471023949467,0.1537720982636521,1.303517830072089,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2016/06,0.0365905681410482,0.481478898590054,-0.01454902802204059,0.1944246406697453,0.7985174161006042,15,0,0,0,0,0,1525,汽車工業,5
1525 江申,2017/06,0.002111258706745593,0.5138865923182386,-0.10157761444143,0.2036997684028746,0.6989700348766418,15,0,0,0,0,0,1525,汽車工業,5
