coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
3014,2016-12-01,5,615.0,,3014 聯陽,0.4751637581451815,0.1102237267257781,0.4190366975460733,0.1770946233641663,1.718372273959951,30,0,0,0,0,0,半導體業,1
3014,2017-12-01,5,629.0,,3014 聯陽,0.4387926550238821,0.1099394412153746,0.510585564079108,0.1924145036413996,1.594395214093665,30,0,0,0,0,0,半導體業,1
3014,2018-12-01,5,643.0,,3014 聯陽,0.4037072972862181,0.1612357308018722,0.4198676271778408,0.1970841014927135,1.520480862817963,30,0,0,0,0,0,半導體業,1
3014,2019-12-01,5,676.0,,3014 聯陽,0.38145897508166,0.1799542555615498,0.5500251902696851,0.2205355600313319,1.437606485731301,30,0,0,0,0,0,半導體業,1
3014,2020-12-01,5,763.0,,3014 聯陽,0.3646152611572782,0.2123116828229111,0.0978784322866736,0.2300672761426209,1.366370092852943,30,0,0,0,0,0,半導體業,1
3014,2021-12-01,5,808.0,,3014 聯陽,0.3433664167196859,0.243404213694482,0.3588792958530836,0.2431658976241717,1.289085109789188,30,0,0,0,0,0,半導體業,1
3014,2022-12-01,5,701.0,,3014 聯陽,0.3944205619283674,0.2984716778424451,0.6908445690248334,0.1768253613129398,1.596996721351233,30,0,0,0,0,0,半導體業,1
3014,2023-12-01,5,809.0,,3014 聯陽,0.3849996258018855,0.3189897190856613,0.8609905181445408,0.196933831618399,1.482626843924717,30,0,0,0,0,0,半導體業,1
3014,2024-12-01,5,788.0,,3014 聯陽,0.4046907756271781,0.3441320118785019,0.511456842316424,0.2115280741154908,1.456791865878263,30,0,0,0,0,0,半導體業,1
3016,2014-12-01,6,383.0,,3016 嘉晶,0.3305637322334167,0.012949038479185,0.7322850825133652,0.1130025399843056,1.708038726187421,30,0,0,0,0,0,半導體業,1
3016,2015-12-01,6,366.0,,3016 嘉晶,0.2467616970127578,0.0003224435805416,0.1636642736123483,0.3014244222955555,1.07159516968457,30,0,0,0,0,0,半導體業,1
3016,2016-12-01,6,404.0,,3016 嘉晶,0.2843836526540786,0.0012327673837428,0.5214581505106015,0.2044143962308449,1.332790646210057,30,0,0,0,0,0,半導體業,1
3016,2017-12-01,6,511.0,,3016 嘉晶,0.3013084400505617,0.0363709841389046,0.1234560924270966,0.2369408507962296,1.246398260575551,30,0,0,0,0,0,半導體業,1
3016,2018-12-01,6,603.0,,3016 嘉晶,0.2146273563441522,0.0745166520778803,0.266966970782636,0.2814630707708065,1.056552175394063,30,0,0,0,0,0,半導體業,1
3016,2019-12-01,6,415.0,,3016 嘉晶,0.2728178663614424,0.0326114941270979,0.1648997523293167,0.3116904028179822,1.337130900270772,30,0,0,0,0,0,半導體業,1
